class_name,class_id,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25
parking_space,0,10,50,122,481,1550,5014,13290,21677,10505,2462,2178,2022,1828,1744,1356,808,282,122,26,0,0,0,4,4,1
parking_space,0,6,46,154,554,1954,6178,15752,21118,7597,2334,1882,1726,1748,1676,1368,810,376,178,58,12,0,0,4,4,1
parking_space,0,24,82,278,1014,3466,10431,21197,15849,3556,2704,2350,1780,1224,752,384,204,116,64,28,16,6,2,4,4,1
parking_space,0,44,88,414,1356,4364,11501,20539,13031,2954,2302,2166,2142,1792,1312,662,390,240,146,62,22,0,0,4,4,1
parking_space,0,32,98,286,872,3103,8654,19290,17493,4409,2162,1780,1354,1370,1470,1400,1126,290,146,110,66,16,0,4,4,1
parking_space,0,17,103,302,1166,4044,11206,20841,13650,3044,2372,2002,1756,1630,1616,1126,506,100,36,10,0,0,0,4,4,1
parking_space,0,10,102,338,1167,3811,10579,20024,13978,3066,2288,2188,2104,1950,1636,1256,616,212,124,44,26,8,0,4,4,1
parking_space,0,8,34,140,467,1768,5517,14098,21270,9421,2172,1846,1978,2034,1944,1240,724,402,298,126,36,4,0,4,4,1
parking_space,0,12,50,226,748,2806,7857,18055,19321,4986,2226,1860,1668,1570,1518,1194,740,320,158,120,78,14,0,4,4,1
parking_space,0,22,94,285,1146,3678,10192,20323,15671,3170,1884,1662,1700,1558,1332,1142,888,482,212,66,20,0,0,4,4,1
parking_space,0,16,53,182,536,2006,5926,14908,21339,8255,1836,1738,1764,1798,1808,1574,1060,510,188,28,2,0,0,4,4,1
parking_space,0,30,90,320,966,2996,8586,17988,18009,4680,2156,2050,1750,1536,1458,1290,958,456,160,48,0,0,0,4,4,1
parking_space,0,12,44,258,914,2958,9686,20589,16642,3704,2338,2178,1920,1710,1340,702,250,154,78,26,16,6,2,4,4,1
parking_space,0,8,34,110,438,1780,5896,15466,20725,7132,2546,2296,2138,2080,1786,1548,742,430,214,116,28,14,0,2,6,1
parking_space,0,16,44,182,622,2003,6155,15874,20893,7256,2504,2086,1802,1566,1372,1216,922,462,284,176,80,12,0,4,4,1
parking_space,0,18,72,248,830,3057,8825,19445,18050,4582,2580,2228,2072,1530,846,532,302,166,96,36,12,0,0,4,4,1
parking_space,0,16,58,214,808,2592,7794,17789,19240,5196,2408,2016,1960,1604,1310,1104,840,374,142,50,12,0,0,4,4,1
